ID,Title,Created By,Created On,Estimate,Forecast,Forecast,Milestone,Preconditions,Priority,References,Section,Section Depth,Section Description,Steps,Steps Separated,Steps Separated (Expected Result),Steps Separated (Step),Suite,Suite ID,Type,Updated By,Updated On
C30870945,Blank Team Info Sections,Marco Osuna,6/19/2023 5:36 PM,,,,,"""tickets"": [
    {
      ""away_team_id"": ""112"",
      ""game_time_home"": ""2023-06-24T18:10:00"",
      ""time_zone_home"": ""BST"",
      ""tlink"": ""https://www.mlb.com/international/events/london-series/tickets"",
      ""game_pk"": ""717637"",
      ""away_name_team"": ""Cubs"",
      ""start_time_tbd"": false
    },
    {
      ""away_team_id"": ""112"",
      ""game_time_home"": ""2023-06-25T15:10:00"",
      ""time_zone_home"": ""BST"",
      ""tlink"": ""https://www.mlb.com/international/events/london-series/tickets"",
      ""game_pk"": ""717623"",
      ""away_name_team"": ""Cubs"",
      ""start_time_tbd"": false
    },
    {
      ""away_team_id"": ""117"",
      ""game_time_home"": ""2023-06-27T18:45:00"",
      ""time_zone_home"": ""CDT"",
      ""tlink"": ""https://mlb.tickets.com/?orgid=10\u0026agency=MLB_MPV\u0026pid=9177547"",
      ""game_pk"": ""717598"",
      ""away_name_team"": ""Astros"",
      ""start_time_tbd"": false
    }
  ]",2 - Medium Priority,MLBAPP-791,MLBAPP/Defects,0,,,"1. Navigate to cardinals team page and map the json stated in preconditions under https://storage.mobile.mlbinfra.com/cms/search/atbat/en/android/phone/stl.json
Only edit the part under tickets.
Expected Result:
team insider, teams info and more teams sections should be populated correctly.","1. team insider, teams info and more teams sections should be populated correctly.","1. Navigate to cardinals team page and map the json stated in preconditions under https://storage.mobile.mlbinfra.com/cms/search/atbat/en/android/phone/stl.json
Only edit the part under tickets.",Master,S579322,Manual,Marco Osuna,6/19/2023 5:38 PM
C30870946,Insider Carousel Mismatch,Marco Osuna,6/19/2023 5:39 PM,,,,,,2 - Medium Priority,MLBAPP-793,MLBAPP/Defects,0,,,"1. Navigate cardinals team page.
Expected Result:
Cardinals team page should be displayed.
2. Tap on teams dropdown and navigate to any other team.
Expected Result:
Team page should be displayed.
3. Validate inside team, team info and more  of team sections are pre-pulated and redirect user to the team accordingly page.
Expected Result:
User should be redirected correctly","1. Cardinals team page should be displayed.
2. Team page should be displayed.
3. User should be redirected correctly","1. Navigate cardinals team page.
2. Tap on teams dropdown and navigate to any other team.
3. Validate inside team, team info and more  of team sections are pre-pulated and redirect user to the team accordingly page.",Master,S579322,Manual,Marco Osuna,6/19/2023 5:42 PM
C30870952,Dates inside articles are not matching the dates shown in the main News tab,Marco Osuna,6/19/2023 6:06 PM,,,,,,2 - Medium Priority,MLBAPP-563,MLBAPP/Defects,0,,,"1. Navigate to NEWS tab and search for any article. Note down the date of the article.
2. Tap on the article found in step 1 and validate the date inside the article matches the date in NEWS tab.","1.
2.","1. Navigate to NEWS tab and search for any article. Note down the date of the article.
2. Tap on the article found in step 1 and validate the date inside the article matches the date in NEWS tab.",Master,S579322,Manual,Marco Osuna,6/19/2023 6:07 PM
C30455099,TC01 - Install app with no keychain,Marco Osuna,4/13/2023 2:36 PM,,,,,,2 - Medium Priority,,MLBAPP/Welcome Screen,0,,,"1. Open MLB app.
Expected Result:
Skip, Login in with MLB and new to MLB buttons should be displayed.
2. Click on login.
Expected Result:
Login page should be displayed.","1. Skip, Login in with MLB and new to MLB buttons should be displayed.
2. Login page should be displayed.","1. Open MLB app.
2. Click on login.",Master,S579322,Manual,Marco Osuna,4/13/2023 2:43 PM
C30455100,TC02 - Install app with keychain,Marco Osuna,4/13/2023 2:36 PM,,,,,,2 - Medium Priority,,MLBAPP/Welcome Screen,0,,,"1. Open MLBAPP.
Expected Result:
Skip, Continue, login with different account and new to MLB buttons should be displayed.
2. Click continue button.
Expected Result:
Onboarding should be displayed.","1. Skip, Continue, login with different account and new to MLB buttons should be displayed.
2. Onboarding should be displayed.","1. Open MLBAPP.
2. Click continue button.",Master,S579322,Manual,Marco Osuna,4/13/2023 2:43 PM
C30455101,TC03 - New to MLB app with no keychain,Marco Osuna,4/13/2023 2:37 PM,,,,,,2 - Medium Priority,,MLBAPP/Welcome Screen,0,,,"1. Open MLB APP and tap on New to MLB.
Expected Result:
Signup screen should be displayed.",1. Signup screen should be displayed.,1. Open MLB APP and tap on New to MLB.,Master,S579322,Manual,Marco Osuna,4/13/2023 2:39 PM
C30455102,TC04 - New to MLB app with keychain,Marco Osuna,4/13/2023 2:37 PM,,,,,,2 - Medium Priority,,MLBAPP/Welcome Screen,0,,,"1. Open MLBAPP and click on new to MLB.
Expected Result:
Signup page should be displayed.",1. Signup page should be displayed.,1. Open MLBAPP and click on new to MLB.,Master,S579322,Manual,Marco Osuna,4/13/2023 2:40 PM
C30455103,TC05 -  Login with a different user with keychain,Marco Osuna,4/13/2023 2:37 PM,,,,,,2 - Medium Priority,,MLBAPP/Welcome Screen,0,,,"1. Open MLB app and tap on login with a different account.
Expected Result:
Login page should be displayed.",1. Login page should be displayed.,1. Open MLB app and tap on login with a different account.,Master,S579322,Manual,Marco Osuna,4/13/2023 2:41 PM
C30455104,TC06 -  Skip onboarding with no keychain,Marco Osuna,4/13/2023 2:37 PM,,,,,,2 - Medium Priority,,MLBAPP/Welcome Screen,0,,,"1. Open MLBAPP and click on skip during onboarding.
Expected Result:
Home page should be displayed.
2. Navigate to user profile.
Expected Result:
User should not be logged in.","1. Home page should be displayed.
2. User should not be logged in.","1. Open MLBAPP and click on skip during onboarding.
2. Navigate to user profile.",Master,S579322,Manual,Marco Osuna,4/13/2023 2:41 PM
C30455105,TC07 - Skip onboarding with keychain,Marco Osuna,4/13/2023 2:38 PM,,,,,,2 - Medium Priority,,MLBAPP/Welcome Screen,0,,,"1. Open MLB app and click on skip during onboarding.
Expected Result:
Home page should be displayed.
2. Navigate to user profile.
Expected Result:
User should not be logged in.","1. Home page should be displayed.
2. User should not be logged in.","1. Open MLB app and click on skip during onboarding.
2. Navigate to user profile.",Master,S579322,Manual,Marco Osuna,4/13/2023 2:42 PM
